System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Organization categorization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Name of the hardware (from Training hardware),Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Organization (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Authors by country,Hardware quantity,Hardware utilization,Training cost trends
Cohere Command,Language,,,,,,https://cohere.com/models/command,,"World-class AI, at your command",,Cohere,Industry,,,,,,,,,,,,,https://docs.cohere.com/docs/environmental-impact,Google TPU v4,Google TPU v4,,,,Industry,Speculative,,2023-11-21 01:39,Anonymous,,,Canada,Cohere,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unverified,,2023-12-13 07:24,Robi Rahman,,,,,,,,,,,
Theseus,Other,Maze solving,Claude Shannon,Historical significance,,,https://www.technologyreview.com/2018/12/19/138508/mighty-mouse/,0.00,Mighty Mouse,1950-07-02,Bell Laboratories,Industry,40.00,"The learned part is the maze configuration. There are 25 squares of the maze. The 16 squares to the left top corner have each one adjacent square down and one adjacent square up, for a total of 16*2 walls. We only need to count the 8 spare walls connecting the squares in the right side and the bottom side. In total there are 16*2+8 walls.",40.00,"The ""training"" consists on the mouse running around and checking each wall.",,,40,Each wall Theseus bumps into is a datapoint,,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Bell Laboratories,,,,Theseus,,,
SNARC,Other,Maze solving,Marvin Minsky,Historical significance,,,https://en.wikipedia.org/wiki/Stochastic_neural_analog_reinforcement_calculator,33.00,A Neural-Analogue Calculator Based upon a Probability Model of Reinforcement,1952-01-08,Harvard University,Academia,40.00,"The link below seems to suggest the SNARC had 40 cells, each with a dial that acts as a configurable weight.

https://www.webofstories.com/play/marvin.minsky/137",,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Harvard University,,,,SNARC,,,
Genetic algorithm,,,NA Barricelli,Historical significance,Possibly first computer simulation of a genetic evolution algorithm,,https://link.springer.com/article/10.1007/BF01556771,266.00,Numerical testing of evolution theories,1954-07-02,Institute for Advanced Study,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Institute for Advanced Study,,,,Genetic algorithm,,,
Sequence-based pattern recognition,Vision,Character recognition,O. G. Selfridge,Historical significance,,,https://dl.acm.org/doi/10.1145/1455292.1455310,290.00,Pattern recognition and modern computers,1955-03-01,Massachusetts Institute of Technology (MIT),Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Massachusetts Institute of Technology (MIT),,,,Sequence-based pattern recognition,,,
Self Organizing System,Vision,Pattern recognition,W. A. Clark and B. G. Farley,Historical significance,,,https://dl.acm.org/doi/10.1145/1455292.1455309,93.00,Generalization of pattern recognition in a self-organizing system,1955-03-01,Massachusetts Institute of Technology (MIT),Academia,225.00,Figure 4 contains the learnt weight matrix,,,,,256,""" The modifier was then
disabled so that no further changes in the net could
occur and all 256 possible input patterns were then presented in turn.""

""For these purposes, 16-element nets (8 input and 8
output) were used because it was desired to exhaust all
possible input patterns, and we were limited to about
2^8 inputs by available time. """,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Massachusetts Institute of Technology (MIT),,,,Self Organizing System,,,
Conditional probability machines,Vision,,AM Uttley,Historical significance,,,https://www.moma.org/collection/works/illustratedbooks/16252?locale=es,84.00,Conditional probability machines,1956-07-01,Princeton University,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Princeton University,,,,Conditional probability machines,,,
Perceptron Mark I,Vision,Binary classification,F Rosenblatt,"Historical significance,Highly cited",First modern neural network ,,https://blogs.umass.edu/brain-wars/files/2016/03/rosenblatt-1957.pdf,1610.00,The Perceptron—a perceiving and recognizing automaton,1957-01-01,"Cornell Aeronautical Laboratory,Cornell University",Industry,1000.00,"""Figure 4.8 Illustration of the Mark 1 perceptron hardware. The photograph on the left shows how the inputs were obtained using a simple camera system in which an input scene, in this case a printed character, was illuminated by powerful lights, and an image focussed onto a 20 × 20 array of cadmium sulphide photocells, giving a primitive 400 pixel image. The perceptron also had a patch board, shown in the middle photograph, which allowed different configurations of input features to be tried. Often these were wired up at random to demonstrate the ability of the perceptron to learn without the need for precise wiring, in contrast to a modern digital computer. The photograph on the right shows one of the racks of adaptive weights. Each weight was implemented using a rotary variable resistor, also called a potentiometer, driven by an electric motor thereby allowing the value of the weight to be adjusted automatically by the learning algorithm.""

source: Bishop, Christopher M. (2006). Pattern Recognition and Machine Learning

The Perceptron had a 400-pixel visual input and 1000 neurons in the hidden layer. https://twitter.com/DiegoKuonen/status/1130352233223262208",694894.94,Extracted from AI and Compute (https://openai.com/blog/ai-and-compute/) charts by using https://automeris.io/WebPlotDigitizer/.,,,6,Appendix II describes an experiment with 6 stimulus patterns,,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,"United States of America,United States of America","Cornell Aeronautical Laboratory, Cornell University",,,,Perceptron Mark I,,,
Pandemonium (morse),Other,Morse translation,OG Selfridge,Highly cited,,,https://aitopics.org/doc/classics:504E1BAC/,1453.00,Pandemonium: A Paradigm for Learning,1959-02-01,Massachusetts Institute of Technology (MIT),Academia,,"The paper mentions 11 function types. Unclear how many times they are called (number of ""demons"" in their Pandemonium implementation).",600000000.00,"The paper mentions using an IBM 704, which can execute up to 12,000 floating-point additions per second (https://wikiless.org/wiki/IBM_704). My best guess as to how long it ran for ranges between 1h to 2 days, which when plugged into guesstimate (https://www.getguesstimate.com/models/19625), i.e., taking the log mean, gives a mean estimate of 600M",,,,??? Might need to make a guesstimate here.,,,,,,,,,,,Academia,Speculative,,2023-11-26 03:25,Robi Rahman,,,United States of America,Massachusetts Institute of Technology (MIT),,,,Pandemonium (morse),,,
