observation_date,PCU518210518210
2000-12-01,100.000
2001-01-01,100.600
2001-02-01,101.400
2001-03-01,101.400
2001-04-01,101.900
2001-05-01,101.700
2001-06-01,101.800
2001-07-01,102.100
2001-08-01,101.600
2001-09-01,101.700
2001-10-01,101.900
2001-11-01,101.900
2001-12-01,101.700
2002-01-01,102.900
2002-02-01,102.200
2002-03-01,102.200
2002-04-01,103.000
2002-05-01,103.100
2002-06-01,102.900
2002-07-01,103.400
2002-08-01,103.000
2002-09-01,102.600
2002-10-01,103.300
2002-11-01,102.700
2002-12-01,102.900
2003-01-01,102.900
2003-02-01,102.800
2003-03-01,102.700
2003-04-01,102.700
2003-05-01,103.000
2003-06-01,102.900
2003-07-01,103.300
2003-08-01,103.200
2003-09-01,103.100
2003-10-01,103.400
2003-11-01,103.300
2003-12-01,103.200
2004-01-01,103.100
2004-02-01,102.100
2004-03-01,101.600
2004-04-01,101.700
2004-05-01,102.100
2004-06-01,102.200
2004-07-01,102.200
2004-08-01,102.200
2004-09-01,101.900
2004-10-01,101.800
2004-11-01,101.800
2004-12-01,101.800
2005-01-01,101.900
2005-02-01,102.000
2005-03-01,101.800
2005-04-01,101.900
2005-05-01,101.900
2005-06-01,102.200
2005-07-01,102.200
2005-08-01,102.000
2005-09-01,102.200
2005-10-01,102.200
2005-11-01,102.000
2005-12-01,102.100
2006-01-01,102.200
2006-02-01,102.500
2006-03-01,102.400
2006-04-01,102.200
2006-05-01,102.800
2006-06-01,102.800
2006-07-01,103.100
2006-08-01,103.500
2006-09-01,103.500
2006-10-01,103.300
2006-11-01,103.200
2006-12-01,103.100
2007-01-01,103.300
2007-02-01,103.400
2007-03-01,103.400
2007-04-01,103.300
2007-05-01,103.600
2007-06-01,103.600
2007-07-01,103.600
2007-08-01,103.700
2007-09-01,103.700
2007-10-01,103.600
2007-11-01,103.700
2007-12-01,103.600
2008-01-01,103.700
2008-02-01,103.800
2008-03-01,103.700
2008-04-01,103.700
2008-05-01,104.100
2008-06-01,104.100
2008-07-01,104.200
2008-08-01,104.300
2008-09-01,104.400
2008-10-01,104.600
2008-11-01,104.600
2008-12-01,104.600
2009-01-01,104.300
2009-02-01,104.200
2009-03-01,104.200
2009-04-01,104.200
2009-05-01,104.200
2009-06-01,104.200
2009-07-01,104.200
2009-08-01,104.200
2009-09-01,104.200
2009-10-01,104.300
2009-11-01,103.900
2009-12-01,103.900
2010-01-01,103.900
2010-02-01,103.900
2010-03-01,103.900
2010-04-01,104.100
2010-05-01,104.100
2010-06-01,104.100
2010-07-01,104.100
2010-08-01,104.100
2010-09-01,105.000
2010-10-01,105.000
2010-11-01,105.000
2010-12-01,105.000
2011-01-01,105.000
2011-02-01,105.000
2011-03-01,105.000
2011-04-01,105.000
2011-05-01,105.000
2011-06-01,105.200
2011-07-01,105.300
2011-08-01,105.300
2011-09-01,105.300
2011-10-01,105.300
