,System,Domain,Task,Open-source,Reference,Publication date,Organization,Parameters,Training compute (FLOP),Training dataset size (datapoints),Epochs,Training time (hours),Training hardware,Country (from Organization),Base model,Finetune compute (FLOP),Hardware quantity,Hardware utilization,Training cloud compute vendor,Training data center,Training time (chip hours),Cost,Cost (inflation-adjusted)
2,Inflection-2,Language,Language modelling,API accessible,Inflection-2: The Next Step Up,2023-11-22 00:00:00,Inflection AI,,1.001e+25,,,,NVIDIA H100 SXM5,United States of America,,,5000.0,,,,,,
4,CogVLM,"Multimodal,Vision,Language","Image captioning,Visual question answering,Chat",Permissive license,CogVLM: Visual Expert for Pretrained Language Models,2023-11-06 00:00:00,"Tsinghua University,Zhipu AI,Beihang University",17000000000.0,1.988064e+22,,,,,"China,China,China",,,,,,,,,
7,ChatGLM3,Multimodal,"Chat,Visual question answering",,Zhipu AI launches third-generation base model,2023-10-27 00:00:00,Zhipu AI,130000000000.0,1.09200000000001e+24,1050000000000.0,,,,China,,,,,,,,,
10,Jais,Language,Language modelling,,Jais and Jais-chat: Arabic-Centric Foundation and Instruction-Tuned Open Generative Large Language Models,2023-08-29 00:00:00,"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence,Inception",13000000000.0,3.08e+22,300000000000.0,,600.0,,"Multinational,United Arab Emirates,United States of America",,,,,,,,,
13,Claude 2,Language,Language modelling,API accessible,,2023-07-11 00:00:00,Anthropic,,3.866e+24,,,,,United States of America,,,,,,,,,
15,PaLM 2,Language,Language modelling,API accessible,PaLM 2 Technical Report,2023-05-10 00:00:00,Google,340000000000.0,7.34e+24,2700000000000.0,,,Google TPU v4,Multinational,,,,,,,,,
16,StarCoder,Language,Code generation,Fully open-source,StarCoder: may the source be with you!,2023-05-09 00:00:00,"Hugging Face,ServiceNow,Northeastern University,Mila- Quebec AI,Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich",15500000000.0,1.12e+23,,1.0,,NVIDIA A100 SXM4 80 GB,"Multinational,United States of America,United States of America,Canada,United States of America,United States of America,Germany,Germany,United Kingdom of Great Britain and Northern Ireland,United States of America,Singapore,Israel,Australia,Australia,Australia,Canada,United States of America,Canada,United States of America,Germany,Multinational,United States of America,Sweden,Multinational,United States of America,United States of America,United States of America,India,India,Multinational,Spain,United States of America,Israel,United Kingdom of Great Britain and Northern Ireland,United States of America,Multinational,Germany",,,,,,,,,
18,BloombergGPT,Language,Language modelling,,BloombergGPT: A Large Language Model for Finance,2023-03-30 00:00:00,"Bloomberg,Johns Hopkins University",50558868480.0,2.3599999999999997e+23,532000000000.0,0.8,1270.0,NVIDIA A100,"United States of America,United States of America",,,,,,,,,
20,GPT-4,Multimodal,Language modelling,API accessible,GPT-4 Technical Report,2023-03-15 00:00:00,OpenAI,,2.1e+25,4900000000000.0,2.0,2280.0,NVIDIA A100 SXM4 40 GB,United States of America,,,25000.0,0.34,,,57000000.0,77520000.0,78352033.69393542
21,Falcon-40B,Language,Language modelling,Fully open-source,Abu Dhabi-based Technology Innovation Institute Introduces Falcon LLM: Foundational Large Language Model (LLM) outperforms GPT-3 with 40 Billion Parameters,2023-03-15 00:00:00,Technology Innovation Institute,40000000000.0,2.4e+23,750000000000.0,,1440.0,NVIDIA A100,United Arab Emirates,,,,,,,,,
25,Galactica,"Language,Biology",Language modelling,,Galactica: A Large Language Model for Science,2022-11-16 00:00:00,Meta AI,120000000000.0,3.24e+23,,4.0,,NVIDIA A100 SXM4 80 GB,Multinational,,,,,,,,,
29,Whisper,Speech,Audio speech recognition,,Robust Speech Recognition via Large-Scale Weak Supervision,2022-09-21 00:00:00,OpenAI,1550000000.0,4.65e+22,9302400000.0,3.0,,,United States of America,,,,,,,,,
