,System,Domain,Task,Open-source,Reference,Publication date,Organization,Parameters,Training compute (FLOP),Training dataset size (datapoints),Epochs,Training time (hours),Training hardware,Country (from Organization),Base model,Finetune compute (FLOP),Hardware quantity,Hardware utilization,Training cloud compute vendor,Training data center,Training time (chip hours),Cost,Cost (inflation-adjusted),Foundation model?
0,Gemini Ultra,Multimodal,"Language modelling,Visual question answering,Chat,Translation",Unreleased,Gemini: A Family of Highly Capable Multimodal Models,2023-12-06 00:00:00,Google DeepMind,,8.00000000001e+25,,,2400.0,Google TPU v4,Multinational,,,55000.0,,,,132000000.0,191400000.0,191400000.0,False
1,Qwen-72B,Language,"Chat,Code generation",Permissive license,,2023-11-30 00:00:00,Alibaba,72000000000.0,1.3e+24,,,,,China,,,,,,,,,,False
2,Inflection-2,Language,Language modelling,API accessible,Inflection-2: The Next Step Up,2023-11-22 00:00:00,Inflection AI,,1.001e+25,,,,NVIDIA H100 SXM5,United States of America,,,5000.0,,,,,,,True
3,Nemotron-3-8B,Language,"Chat,Language Generation",Permissive license,NVIDIA AI Foundation Models: Build Custom Enterprise Chatbots and Co-Pilots with Production-Ready LLMs,2023-11-15 00:00:00,NVIDIA,8000000000.0,1.8e+23,,,456.0,NVIDIA A100,United States of America,,,,,,,,,,False
4,Yi-34B,Language,Chat,Permissive license,,2023-11-02 00:00:00,01.AI,34000000000.0,6.1e+23,,,,,China,,,,,,,,,,False
5,Skywork-13B,Language,Language modelling,Permissive license,Skywork: A More Open Bilingual Foundation Model,2023-10-30 00:00:00,Kunlun Inc.,13000000000.0,2.5e+23,2780000000000.0,1.0,940.0,NVIDIA A800,China,,,,,,,,,,False
6,ChatGLM3,Multimodal,"Chat,Visual question answering",,Zhipu AI launches third-generation base model,2023-10-27 00:00:00,Zhipu AI,130000000000.0,1.09200000000001e+24,1050000000000.0,,,,China,,,,,,,,,,True
7,XGen-7B,Language,Language Generation,Permissive license,XGen-7B Technical Report,2023-09-07 00:00:00,Salesforce,6700000000.0,8.02e+22,1113000000000.0,1.0,,Google TPU v4,United States of America,,,,,,,,,,False
8,Falcon 180B,Language,Language modelling,Permissive license,Falcon LLM - Falcon 180B,2023-09-06 00:00:00,Technology Innovation Institute,180000000000.0,3.76e+24,2625000000000.0,,4320.0,NVIDIA A100 SXM4 40 GB,United Arab Emirates,,,4096.0,0.1876,Amazon Web Services,,17694720.0,25657344.0,25816323.797898512,False
9,Jais,Language,Language modelling,,Jais and Jais-chat: Arabic-Centric Foundation and Instruction-Tuned Open Generative Large Language Models,2023-08-29 00:00:00,"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence,Inception",13000000000.0,3.08e+22,300000000000.0,,600.0,,"Multinational,United Arab Emirates,United States of America",,,,,,,,,,True
10,Llama 2-70B,Language,Language modelling,Fully open-source,Llama 2: Open Foundation and Fine-Tuned Chat Models,2023-07-18 00:00:00,Meta AI,70000000000.0,8.1e+23,1500000000000.0,1.0,2160.0,NVIDIA A100 SXM4 80 GB,Multinational,,,1000.0,0.435,,Meta’s Research Super Cluster,2160000.0,3909600.0,3931897.156858603,False
