,System,Domain,Task,Open-source,Reference,Publication date,Organization,Parameters,Training compute (FLOP),Training dataset size (datapoints),Epochs,Training time (hours),Training hardware,Country (from Organization),Base model,Finetune compute (FLOP),Hardware quantity,Hardware utilization,Training cloud compute vendor,Training data center,Training time (chip hours),Cost,Cost (inflation-adjusted),Foundation model?
0,Yuan 1.0,Language,Language modelling,,Yuan 1.0: Large-Scale Pre-trained Language Model in Zero-Shot and Few-Shot Learning,2021-10-12 00:00:00,Inspur,245730000000.0,3.5380000000001e+23,1000000000000.0,0.22,,,China,,,2128.0,0.45,,,,,,False
1,OpenAI TI7 DOTA 1v1,Games,DOTA,,Dota 2,2017-08-11 00:00:00,OpenAI,,6.046095222592002e+20,,,,,United States of America,,,,,,,,,,False
2,Claude 2,Language,Language modelling,API accessible,,2023-07-11 00:00:00,Anthropic,,3.866e+24,,,,,United States of America,,,,,,,,,,True
3,Turing-NLG,Language,Text autocompletion,,Turing-NLG: A 17-billion-parameter language model by Microsoft,2020-02-13 00:00:00,Microsoft,17000000000.0,1.57e+22,34800000000.0,3.39,,NVIDIA Tesla V100 DGXS 32 GB,Multinational,,,256.0,,,,,,,False
4,GPT-3.5 (text-davinci-003),Language,Language modelling,API accessible,,2022-11-28 00:00:00,OpenAI,,2.578e+24,,,,NVIDIA A100 SXM4 40 GB,United States of America,,,,,,,,,,False
5,AlphaGo Master,Games,Go,,Mastering the game of Go without human knowledge,2017-01-01 00:00:00,DeepMind,,1.5e+23,,,,Google TPU v1,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,False
6,Minerva (540B),Language,Quantitative reasoning,,Solving Quantitative Reasoning Problems with Language Models,2022-06-29 00:00:00,Google,540350000000.0,2.7415e+24,613875000000.0,,696.0,Google TPU v4,Multinational,PaLM (540B),2.0,1024.0,,,,712704.0,13220659.2,13470191.00856837,False
7,FTW,Games,Capture the flag,,Human-level performance in first-person multiplayer games with population-based deep reinforcement learning,2018-07-03 00:00:00,DeepMind,126001330.0,7.26e+21,,,,,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,False
8,AlphaGo Zero,Games,Go,,Mastering the game of Go without human knowledge,2017-10-18 00:00:00,DeepMind,46400244.0,3.41e+23,5800000000.0,,480.0,Google TPU v1,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,False
9,NASv3 (CIFAR-10),Vision,,,Neural Architecture Search with Reinforcement Learning,2016-11-05 00:00:00,Google Brain,37400000.0,2.2e+21,,,,,Multinational,,,800.0,,,,,,,False
