Model,Cost
Grok-3,507476933.25548834
Llama 3.1-405B,73415549.41163662
GPT-4,68783537.59352855
Gemini 1.0 Ultra,52257119.588959254
Grok-2,46642395.26928203
Nemotron-4 340B,28477168.974342998
Falcon-180B,21256880.956334103
Amazon Titan,18924800.385082565
Mistral Large,17684355.87225565
Gemini 1.5 Pro,16760812.761707999
Inflection-2,15938988.077225072
Inflection-2.5,15827069.060974613
OpenAI Five,8846458.489452465
PaLM 2,7907555.940573687
GPT-3.5,7466800.679493775
MegaScale (Production),7347352.807160781
Megatron-Turing NLG 530B,4201441.2650644155
xTrimoPGLM -100B,3607472.5330054634
PaLM (540B),3385296.471404353
GPT-3 175B (davinci),3258457.386328057
InternLM,2846159.1218263716
Llama 2-70B,2052847.8117604782
Gopher (280B),1574510.7738791076
BLOOM-176B,1314372.945571846
AlphaGo Zero,1231871.9623575497
LLaMA-65B,1230521.0323010017
Jurassic-1-Jumbo,1076329.2206791888
OPT-175B,980802.3337936201
OpenAI Five Rerun,839463.6799424649
AlphaGo Master,722541.6750473164
LaMDA,596225.3245202572
HyperCLOVA 204B,582577.4869952603
GLaM,569844.7113245123
Parti,554136.6178878959
GShard (dense),435146.41456108884
Meena,313013.5285677735
GNMT,288916.31140307174
Switch,278812.3099509613
DALL-E,253182.85032533298
ByT5-XXL,204254.30334373313
ProtT5-XXL,185846.19946213745
Megatron-BERT,178608.41194452005
iGPT-XL,178293.97073259144
AlphaStar,174716.2256734457
ResNeXt-101 32x48d,157486.40275151003
Megatron-LM (8.3B),156162.9698017595
RoBERTa Large,115228.04054644497
XLM-RoBERTa,114225.34951256098
Meta Pseudo Labels,113097.18732803754
T5-11B,106307.85025323124
Noisy Student (L2),63533.17297216207
JFT,31419.62535468939
T5-3B,23352.94874710795
Xception,19034.030245089747
XLNet,16250.77081460569
MnasNet-A3,12074.617889616331
MoE-Multi,8619.638976105445
BigGAN-deep 512x512,5354.160385367346
GPT-2 (1.5B),5062.969397459074
PolyNet,798.2980710474833
DeepSpeech2 (English),221.7259256595357
